seriesID,year,period,periodName,latest,value,footnotes,item_name
APU0000701312,2025,M08,August,true,1.059,[{}],Rice
APU0000701312,2025,M07,July,,1.068,[{}],Rice
APU0000701312,2025,M06,June,,1.061,[{}],Rice
APU0000701312,2025,M05,May,,1.067,[{}],Rice
APU0000701312,2025,M04,April,,1.031,[{}],Rice
APU0000701312,2025,M03,March,,1.038,[{}],Rice
APU0000701312,2025,M02,February,,1.030,[{}],Rice
APU0000701312,2025,M01,January,,1.008,[{}],Rice
APU0000701312,2024,M12,December,,1.032,[{}],Rice
APU0000701312,2024,M11,November,,1.061,[{}],Rice
APU0000701312,2024,M10,October,,1.056,[{}],Rice
APU0000701312,2024,M09,September,,1.078,[{}],Rice
APU0000701312,2024,M08,August,,1.085,[{}],Rice
APU0000701312,2024,M07,July,,1.039,[{}],Rice
APU0000701312,2024,M06,June,,1.018,[{}],Rice
APU0000701312,2024,M05,May,,1.002,[{}],Rice
APU0000701312,2024,M04,April,,1.025,[{}],Rice
APU0000701312,2024,M03,March,,1.014,[{}],Rice
APU0000701312,2024,M02,February,,1.001,[{}],Rice
APU0000701312,2024,M01,January,,1.000,[{}],Rice
APU0000701322,2025,M08,August,true,1.294,[{}],Pasta
APU0000701322,2025,M07,July,,1.306,[{}],Pasta
APU0000701322,2025,M06,June,,1.318,[{}],Pasta
APU0000701322,2025,M05,May,,1.322,[{}],Pasta
APU0000701322,2025,M04,April,,1.361,[{}],Pasta
APU0000701322,2025,M03,March,,1.379,[{}],Pasta
APU0000701322,2025,M02,February,,1.381,[{}],Pasta
APU0000701322,2025,M01,January,,1.366,[{}],Pasta
APU0000701322,2024,M12,December,,1.380,[{}],Pasta
APU0000701322,2024,M11,November,,1.367,[{}],Pasta
APU0000701322,2024,M10,October,,1.445,[{}],Pasta
APU0000701322,2024,M09,September,,1.431,[{}],Pasta
APU0000701322,2024,M08,August,,1.421,[{}],Pasta
APU0000701322,2024,M07,July,,1.432,[{}],Pasta
APU0000701322,2024,M06,June,,1.435,[{}],Pasta
APU0000701322,2024,M05,May,,1.377,[{}],Pasta
APU0000701322,2024,M04,April,,1.422,[{}],Pasta
APU0000701322,2024,M03,March,,1.420,[{}],Pasta
APU0000701322,2024,M02,February,,1.432,[{}],Pasta
APU0000701322,2024,M01,January,,1.425,[{}],Pasta
APU0000702111,2025,M08,August,true,1.841,[{}],White bread
APU0000702111,2025,M07,July,,1.851,[{}],White bread
APU0000702111,2025,M06,June,,1.864,[{}],White bread
APU0000702111,2025,M05,May,,1.876,[{}],White bread
APU0000702111,2025,M04,April,,1.913,[{}],White bread
APU0000702111,2025,M03,March,,1.880,[{}],White bread
APU0000702111,2025,M02,February,,1.925,[{}],White bread
APU0000702111,2025,M01,January,,1.925,[{}],White bread
APU0000702111,2024,M12,December,,1.912,[{}],White bread
APU0000702111,2024,M11,November,,1.916,[{}],White bread
APU0000702111,2024,M10,October,,1.937,[{}],White bread
APU0000702111,2024,M09,September,,1.976,[{}],White bread
APU0000702111,2024,M08,August,,1.951,[{}],White bread
APU0000702111,2024,M07,July,,1.975,[{}],White bread
APU0000702111,2024,M06,June,,1.973,[{}],White bread
APU0000702111,2024,M05,May,,1.971,[{}],White bread
APU0000702111,2024,M04,April,,1.998,[{}],White bread
APU0000702111,2024,M03,March,,1.997,[{}],White bread
APU0000702111,2024,M02,February,,2.006,[{}],White bread
APU0000702111,2024,M01,January,,2.033,[{}],White bread
APU0000702421,2025,M08,August,true,5.122,[{}],Cookies
APU0000702421,2025,M07,July,,5.264,[{}],Cookies
APU0000702421,2025,M06,June,,5.108,[{}],Cookies
APU0000702421,2025,M05,May,,5.049,[{}],Cookies
APU0000702421,2025,M04,April,,4.956,[{}],Cookies
APU0000702421,2025,M03,March,,4.863,[{}],Cookies
APU0000702421,2025,M02,February,,4.658,[{}],Cookies
APU0000702421,2025,M01,January,,4.895,[{}],Cookies
APU0000702421,2024,M12,December,,4.773,[{}],Cookies
APU0000702421,2024,M11,November,,4.918,[{}],Cookies
APU0000702421,2024,M10,October,,4.852,[{}],Cookies
APU0000702421,2024,M09,September,,5.173,[{}],Cookies
APU0000702421,2024,M08,August,,5.046,[{}],Cookies
APU0000702421,2024,M07,July,,5.102,[{}],Cookies
APU0000702421,2024,M06,June,,5.017,[{}],Cookies
APU0000702421,2024,M05,May,,5.124,[{}],Cookies
APU0000702421,2024,M04,April,,5.121,[{}],Cookies
APU0000702421,2024,M03,March,,5.145,[{}],Cookies
APU0000702421,2024,M02,February,,5.248,[{}],Cookies
APU0000702421,2024,M01,January,,5.019,[{}],Cookies
APU0000703113,2025,M08,August,true,7.950,[{}],Ground beef
APU0000703113,2025,M07,July,,8.035,[{}],Ground beef
APU0000703113,2025,M06,June,,7.672,[{}],Ground beef
APU0000703113,2025,M05,May,,7.688,[{}],Ground beef
APU0000703113,2025,M04,April,,7.551,[{}],Ground beef
APU0000703113,2025,M03,March,,7.476,[{}],Ground beef
APU0000703113,2025,M02,February,,7.244,[{}],Ground beef
APU0000703113,2025,M01,January,,7.110,[{}],Ground beef
APU0000703113,2024,M12,December,,7.124,[{}],Ground beef
APU0000703113,2024,M11,November,,6.977,[{}],Ground beef
APU0000703113,2024,M10,October,,7.220,[{}],Ground beef
APU0000703113,2024,M09,September,,7.223,[{}],Ground beef
