,Rice,Pasta,White bread,Cookies,Ground beef,Steak,Bacon,Ham,Eggs,Milk,Cheddar cheese,Ice cream,Bananas,Strawberries,Potatoes,Lettuce,Tomatoes,Orange juice,Corn,Beans,Sugar,Coffee,Potato chips,Wine,Chicken breast
January 2024,1.0,1.42,2.03,5.02,6.78,8.11,6.61,5.53,2.52,3.96,5.72,5.9,0.62,3.66,0.98,1.44,2.15,4.11,1.38,1.59,0.98,6.12,6.39,13.34,4.09
February 2024,1.0,1.43,2.01,5.25,6.65,7.88,6.56,5.67,3.0,3.94,5.73,5.88,0.62,3.05,0.97,1.44,2.13,4.21,1.39,1.62,0.98,6.09,6.41,13.39,4.11
March 2024,1.01,1.42,2.0,5.14,6.73,8.03,6.61,5.57,2.99,3.89,5.69,5.73,0.63,2.65,0.97,1.68,2.04,4.26,1.4,1.65,0.98,5.96,6.57,13.31,4.11
April 2024,1.02,1.42,2.0,5.12,6.81,8.11,6.64,5.59,2.86,3.87,5.51,6.2,0.63,2.52,0.97,1.75,1.96,4.28,1.4,1.65,1.01,6.06,6.5,13.66,4.06
May 2024,1.0,1.38,1.97,5.12,6.85,8.25,6.82,5.67,2.7,3.86,5.55,6.0,0.62,2.26,0.96,1.69,1.86,4.19,1.33,1.7,1.0,5.99,6.63,13.86,4.12
June 2024,1.02,1.44,1.97,5.02,6.89,7.93,6.83,5.57,2.72,3.96,5.54,6.14,0.62,2.06,0.99,1.74,1.84,4.26,1.35,1.68,1.0,6.25,6.57,13.88,4.05
July 2024,1.04,1.43,1.98,5.1,7.17,8.06,6.88,5.73,3.08,3.98,5.6,6.03,0.61,2.17,1.02,1.64,1.94,4.25,1.37,1.71,1.0,6.31,6.32,13.92,3.95
August 2024,1.08,1.42,1.95,5.05,6.92,8.23,6.78,5.63,3.2,4.04,5.76,6.36,0.61,2.34,1.01,1.52,2.0,4.27,1.31,1.71,1.0,6.31,6.25,13.96,3.95
September 2024,1.08,1.43,1.98,5.17,7.22,8.15,6.96,5.63,3.82,4.02,5.73,6.34,0.62,2.65,1.01,1.44,1.94,4.23,1.35,1.7,1.01,6.47,6.47,13.96,3.97
October 2024,1.06,1.44,1.94,4.85,7.22,8.15,6.87,5.67,3.37,4.04,5.84,6.3,0.62,2.63,1.0,1.41,1.98,4.25,1.33,1.68,1.0,6.64,6.52,13.77,4.04
November 2024,1.06,1.37,1.92,4.92,6.98,8.16,6.84,5.63,3.65,4.14,5.68,6.45,0.62,3.17,0.96,1.64,2.03,4.31,1.29,1.65,1.0,6.87,6.51,13.78,4.01
December 2024,1.03,1.38,1.91,4.77,7.12,8.14,6.92,5.46,4.15,4.1,5.62,6.27,0.62,3.5,0.95,1.7,2.07,4.29,1.3,1.66,0.99,6.78,6.32,13.98,4.1
January 2025,1.01,1.37,1.92,4.89,7.11,8.28,7.04,5.48,4.95,4.03,5.7,6.46,0.62,3.3,0.97,1.62,2.05,4.48,1.33,1.65,1.01,7.02,6.47,14.04,3.97
February 2025,1.03,1.38,1.92,4.66,7.24,8.48,6.8,5.52,5.9,4.03,5.54,6.26,0.62,2.9,0.96,1.52,1.85,4.49,1.35,1.63,1.01,7.25,6.46,14.09,4.08
March 2025,1.04,1.38,1.88,4.86,7.48,8.55,6.98,5.6,6.23,4.05,5.74,6.33,0.62,2.36,0.95,1.46,1.82,4.48,1.34,1.64,1.01,7.38,6.54,14.0,4.16
April 2025,1.03,1.36,1.91,4.96,7.55,8.63,7.01,5.47,5.12,4.07,5.74,6.23,0.64,2.48,0.97,1.52,1.79,4.44,1.33,1.67,1.02,7.54,6.61,13.78,4.18
May 2025,1.07,1.32,1.88,5.05,7.69,8.4,6.98,5.45,4.55,4.02,5.91,6.47,0.66,2.4,0.96,1.44,1.7,4.43,1.45,1.67,1.05,7.93,6.73,13.74,4.22
June 2025,1.06,1.32,1.86,5.11,7.67,8.46,7.1,5.38,3.78,4.03,6.0,6.49,0.65,2.22,0.98,1.38,1.74,4.49,1.41,1.59,1.05,8.13,6.82,13.96,4.24
July 2025,1.07,1.31,1.85,5.26,8.04,8.69,7.12,5.68,3.6,4.16,6.04,6.37,0.66,2.22,0.98,1.58,1.79,4.64,1.42,1.65,1.05,8.41,6.8,13.89,4.2
August 2025,1.06,1.29,1.84,5.12,7.95,9.08,7.21,5.43,3.59,4.17,6.12,6.5,0.67,2.41,1.0,1.67,1.92,4.67,1.4,1.55,1.04,8.87,6.75,13.95,4.21
September 2025,1.06,1.2,1.87,5.15,8.18,9.36,7.29,5.48,3.49,4.13,6.05,6.4,0.67,2.57,1.01,1.73,1.91,4.74,1.42,1.63,1.04,9.14,6.97,13.97,4.17
October 2025,,,,,,,,,,,,,,,,,,,,,,,,,
November 2025,1.06,1.3,1.79,5.33,8.23,9.66,6.93,5.46,2.86,4.0,5.64,6.14,0.66,,,1.99,1.83,4.81,1.17,1.69,0.99,9.26,6.82,14.11,4.15
December 2025,1.08,1.31,1.83,5.13,8.25,9.88,6.76,5.36,2.71,4.05,5.79,6.4,0.66,3.61,0.85,,1.84,4.82,1.16,1.69,0.98,9.05,6.79,14.17,4.15
